"question","choices","answer","explanation"
"GitHub Copilot はコード リファクタリング タスクをどのように支援しますか?","A.GitHub Copilot は、ユーザー入力なしで構文エラーを修正できます。;B.GitHub Copilot は、ベストプラクティスに従ってコードを自動的に書き換えることができます。;C.GitHub Copilot は、コード品質を向上させるためのリファクタリングの改善を提案できます。;D.GitHub Copilot はプロジェクト ディレクトリから不要なファイルを削除できます。","C","GitHub Copilotは既存のコードを分析し、コードの品質、可読性、保守性を向上させるためのリファクタリングの改善を提案します。"
"GitHub Copilot Chat のパフォーマンスを向上させる戦略を選択します。","A.GitHub Copilot Chatクエリを1つ使用して、技術要件のコレクションの解決策を見つける;B.GitHub Copilot Chatに同時アクセスするユーザー数を制限する;C.より具体的にするために迅速なエンジニアリング技術を適用する;D.生成されたコード内でメモリを大量に消費する操作の使用を最適化する;","C","GitHub Copilotは既存のコードを分析し、コードの品質、可読性、保守性を向上させるためのリファクタリングの改善を提案します。コード構造の改善、複雑さの軽減、ベストプラクティスの遵守に向けた変更を提案します。"
"GitHub Mobile で GitHub Copilot Chat を使用しているときに、GitHub Copilot Chat に関するフィードバックを共有する最適な方法は何ですか?","A.GitHub モバイル アプリの [設定] メニュー。;B.GitHub ウェブサイトのフィードバック セクション。;C.Copilot Chat インターフェースで絵文字を使用します。;D.GitHub の公式 X (旧称 Twitter) アカウントでツイートする。","C","GitHub Mobile でフィードバックを共有する最適な方法は、Copilot Chat インターフェースの絵文字を使用することです。これにより、直接かつ即時のフィードバックが可能になります。"
"GitHub Copilot から生成されたコードに大きく依存することで生じる潜在的なリスクは何ですか? (それぞれの正解は解決策の一部を示しています。2 つ選択してください。)","A.GitHub Copilot は、既知の脆弱性のあるコードを提案することで、セキュリティ上の脆弱性をもたらす可能性があります。;B.GitHub Copilot では、迅速なエンジニアリングに時間がかかりすぎるため、開発者の速度が低下する可能性があります。;C.GitHub Copilot の提案は、必ずしもベストプラクティスや最新のコーディング標準を反映しているとは限りません。;D.GitHub Copilot は無関係な提案を提供することで開発のリードタイムを延長する可能性があります。","AC","GitHub Copilot に過度に依存すると、生成されたコードに既知の脆弱性が含まれている場合、セキュリティ上の脆弱性が発生する可能性があります。また、Copilot の提案は必ずしもベストプラクティスや最新の標準に準拠しているわけではないため、慎重なレビューと検証が必要です。"
"GitHub Copilot と対話するにはどのような方法を使用できますか?","A.適切に設定されたGitHub CLIを使用する;B.NeoVimのチャット機能を使用する;C.IDEデバッグセッションのウォッチウィンドウから;D.Webブラウザからhttps://github.copilot.comへアクセス","B","GitHub Copilot は、Visual Studio Code、JetBrains IDE、NeoVim などのサポートされている統合開発環境 (IDE) やコードエディターに直接統合できる AI 搭載のコード補完ツールです。
開発者はコーディング環境を通じて GitHub Copilot と対話し、リアルタイムのコード提案、自動補完、拡張機能やプラグイン (サポートされているエディターの GitHub Copilot Chat など) を介して (場合によっては) チャットのような機能を利用できます。
選択肢の評価:
* A. 適切に構成された GitHub CLI を使用するGitHub CLI (コマンドラインインターフェース) は、ターミナルから GitHub リポジトリやワークフローを操作するためのツールですが、GitHub Copilot を操作する方法ではありません。Copilot は CLI 経由ではなく、コードエディター/IDE 内で動作します。不正解です。
* B. NeoVim のチャット機能を使用するこれは部分的に正解です。 GitHub Copilot は、適切なプラグイン（例：Copilot.vim プラグイン）を使用することで NeoVim で使用できます。また、設定とバージョンによっては、会話型のインタラクションを可能にする GitHub Copilot Chat も利用できる場合があります。ただし、「NeoVim のチャット機能」だけでは、Copilot のインタラクションを説明する主要または標準的な方法とは言えません。これはチャットというよりもコード提案に関するものだからです。これは最も近い表現ですが、完全に正確ではありません。一部正解です。
* C. IDE デバッグセッションのウォッチウィンドウから。IDE の「ウォッチウィンドウ」は、デバッグ中に変数の値を監視するために使用されるものであり、GitHub Copilot とやり取りするためのものではありません。Copilot はコーディング中に提案を提供するものであり、デバッグセッションやウォッチウィンドウに限定されるものではありません。不正解です。
* D. Web ブラウザから https://github.copilot.com にアクセスする。GitHub Copilot とのやり取り専用の「https://github.copilot.com」のような URL は存在しません。 Copilot は GitHub の認証を介してアクセスされ、スタンドアロンのウェブブラウザインターフェースではなく、エディタ/IDE に統合されています。Copilot に関する情報は GitHub の公式サイト（例: https://github.com/features/copilot）で入手できますが、操作はコーディング環境で行われます。誤りです。"
"プロキシサービスはどこでホストされていますか?","A.セルフホスト;B. Amazon Web Service;C.マイクロソフト アジュール;D. Google Cloud Platform","C","GitHub Copilot のプロキシサービスは Microsoft Azure でホストされています。"
"コンテンツ除外の制限は何ですか?","A.コンテンツの除外は Git リポジトリでのみ使用できるため、回避できます。;B.コンテンツの除外は、エンタープライズ管理者のみが設定できます。;C.コンテンツの除外は、GitHub Copilot 個人プランでのみ利用できます。;D.リポジトリ管理者と組織の所有者はコンテンツ除外設定を管理できません。","A","制限事項として、コンテンツの除外は Git リポジトリでのみ使用できます。つまり、他の手段でコンテンツにアクセスする場合は、これを回避できます。"
"次の GitHub Copilot Business 関連のアクティビティのうち、組織の監査ログを使用して追跡できるものはどれですか。","A.承認されたチャット提案;B. GitHub Copilotによるコード提案;C.コンテンツ除外設定の変更;D.重複検出フィルタリングによってブロックされた提案","C","組織の監査ログは、コンテンツ除外設定の変更を追跡し、管理者に構成の変更の可視性を提供します。"
"GitHub Copilot から複数の提案を取得するにはどうすればよいですか?","A.コード内のコメントを使用して複数の提案を求める;B.エディタで補完パネルを開く;C.インラインチャット機能を使用して「multiple」コマンドを実行する;D.チャットウィンドウで@workspaceを使用する","B","エディターで補完パネルを開くと、代替のコード候補が表示され、複数の候補を取得できます。"
"どの GitHub Copilot プランでプロンプトと提案の収集が可能になりますか?","A. GitHub Copilot 個人;B. GitHub Copilot ビジネス;C. GitHub Copilot エンタープライズ;D. GitHub Copilot コードスペース","C","GitHub Copilot Enterprise を使用すると、迅速な提案収集が可能になり、組織はツールの使用状況を分析して改善することができます。"
"GitHub Copilot Chat によるコード機能の説明や改善提案を頼りにする場合、重要な考慮事項は何ですか?","A.説明はユーザーからのフィードバックに基づいて動的に更新されます。;B.生成された出力の正確性と完全性を確認し、検証します。;C. GitHub Copilot Chat は説明を生成するために静的データベースを使用します。;D.説明は主にユーザー提供のドキュメントに基づいています。","B","生成された出力をレビューして検証することが重要です。Copilotの提案は必ずしも完全に正確とは限らないためです。"
"次の GitHub Copilot Business 関連のアクティビティのうち、組織の監査ログを使用して追跡できるものはどれですか。","A. GitHub Copilotによるコード提案;B.重複検出フィルタリングによってブロックされた提案;C.承認されたチャット提案;D.コンテンツ除外設定の変更","D","コンテンツ除外設定の変更は監査ログに記録されます。"
"GitHub Copilot と GitHub Copilot Chat は、開発者がアプリケーションを最新化する際にどのように役立ちますか?","A. GitHub Copilot は、レガシーアプリケーションをクラウドネイティブ アーキテクチャに直接変換できます。;B. GitHub Copilot は、コードに基づいて最新のプログラミング パターンを提案できます。;C. GitHub Copilot は、単一のクエリに基づいてフルスタック アプリケーションを作成してデプロイできます。;D. GitHub Copilot は、今後の標準に合わせてアプリケーションをリファクタリングできます。","B","GitHub Copilotは最新のプログラミングパターンを提案し、アプリケーションのモダナイゼーションを支援します。"
"GitHub Copilot を使用して、コードのリファクタリングに関するインライン提案を取得するにはどうすればよいですか? (2 つ選択してください。)","A.コードにコメントを追加して提案をトリガーします。;B.修正するコードをハイライトし、右クリックして、「GitHub Copilot を使用して修正」を選択します。;C. gh copilot fix コマンドを実行します。;D. GitHub Copilot インライン チャットで「/fix」コマンドを使用する。;E.修正するコードをハイライトし、右クリックして、「GitHub Copilot を使用してリファクタリング」を選択します。","AE","コメント追加やハイライトしてリファクタリングを選ぶ操作でインライン提案を取得可能です。"
"GitHub Copilot は、コンテンツ除外を使用して除外されたコンテンツをいつ引き続き使用できますか?","A.除外されたファイルの内容が、関数呼び出しなど、除外されていないコード内で参照されている場合。;B.リポジトリ レベルの設定でユーザーによる上書きが許可されている場合。;C.コンテンツの除外がエンタープライズ レベルで構成され、組織レベルで上書きされる場合。;D.ユーザーが @workspace でプロンプトを出したとき。","A","関数呼び出しなどで参照されている場合、除外されたコンテンツを使用する可能性があります。"
"開発者はどのような方法で GitHub Copilot を使用してサンプルデータを生成することができますか? (それぞれの正解はソリューションの一部を示しています。2 つ選択してください。)","A. GitHub Copilot の機能を活用して、トレーニング データ内のパターンから架空の情報を作成します。;B. GitHub Copilot の機能を活用して、データ ストレージ サービスを独立して開始および管理する。;C. GitHub Copilot の機能を活用して、データベースに直接アクセスし、サンプル データを作成します。;D. GitHub Copilot の提案を活用して、リポジトリ内の API ドキュメントに基づいてデータを作成します。","AD","Copilot の提案により、トレーニングデータから架空の情報を生成し、API ドキュメントに基づくデータも生成できます。"
"GitHub Copilot が公開されているコード スニペットを提案しないようにするために、組織レベルで設定できる GitHub Copilot 機能は何ですか?","A. IDE 内の GitHub Copilot チャット;B. GitHub MobileでのGitHub Copilotチャット;C. GitHub Copilot重複検出フィルター;D. GitHub Copilot の Bing へのアクセス","C","重複検出フィルターを設定することで、Copilot による公開コードスニペットの提案を抑制できます。"
"GitHub Copilot Business サブスクリプションの詳細を変更するために使用される REST API エンドポイントはどれですか? (それぞれの正解はソリューションの一部を示しています。2 つ選択してください。)","A.組織のCopilotサブスクリプションにチームを追加する;B.サブスクリプション層のアップグレードまたはダウングレード;C. GitHub組織間でのCopilotシートの割り当てを移行する;D. GitHubリポジトリのサイズに基づいてCopilotのシートを再割り当てする;E.組織の Copilot サブスクリプションからチームを削除する","AE","REST API は Copilot Business のチーム追加・削除に対応しています。"
"GitHub Copilot Chat は、コーディングの質問に答える際に、トレーニング データと外部ソースをどのように活用して応答を生成するのでしょうか?","A.応答を生成するために、主にモデルのトレーニング データに依存します。;B.応答を生成するために主に Bing の検索結果を使用します。;C.トレーニング データ セット、ユーザー リポジトリ内のコード、Bing などの外部ソースを組み合わせて応答を生成します。;D.応答を生成するために、ユーザーが提供するドキュメントのみを使用します。","C","GitHub Copilot Chat は、トレーニング データ、ユーザー リポジトリのコード、Bing などの外部ソースを組み合わせて、コーディングに関する質問に対する包括的で関連性のある応答を生成します。"
"ある企業は現在、Bitbucketにコードを保存しており、GitHub Copilotの導入を検討しています。自社のIDプロバイダー（Oktaなど）でユーザーを管理するには、どのGitHub Copilotプランが最も費用対効果が高いでしょうか？","A. GHE以外のお客様向けのGitHub Copilot Business;B. GitHub Copilot 個人;C. GitHub Copilot エンタープライズ;D. GitHub Copilotチーム","C","GitHub Copilot Enterprise は、エンタープライズレベルの機能と統合を提供するため、Okta などのアイデンティティプロバイダーを使用してユーザーを管理するための最も費用対効果の高いプランです。"
"GitHub Copilot は、新しいプログラミング言語を学ぶ際に、どのようにスムーズな学習体験を促進しますか? (それぞれの正解は解決策の一部を示しています。2 つ選択してください。)","A. GitHub Copilot Chat は、対象となるプログラミング言語での一般的なコーディング タスクと課題に関するガイダンスとサポートを提供できます。;B. GitHub Copilot の /understand コマンドは、GitHub Copilot が対象のプログラミング言語で記述されたコードを理解するのに役立ちます。;C. GitHub Copilot は、組織のドキュメントからコンテキストに応じたコード提案と回答ソースを提供できます。;D. GitHub Copilot はコメントをコードに変換し、新しいプログラミング言語の構文とニュアンスを把握できます。","AD","GitHub Copilot は、一般的なタスクに関するガイダンスを提供し、コメントをコードに変換して開発者が実際の構文を確認できるようにすることで、新しい言語の学習を支援します。"
"AI の使用に関連するリスクは次のどれですか?","A. AI アルゴリズムは既存の偏見を永続させることができません。;B. AI システムは解釈が難しい決定を下すことがあります。;C. AI によりデータプライバシー規制の必要性がなくなります。;D. AI により、ほとんどの分野で開発者の機会の必要性がなくなります。","B","AI に伴うリスクとして、その決定を解釈することが難しいため、透明性が欠如し、誤解が生じる可能性があることが挙げられます。"
"GitHub Copilot のどの料金プランで会社のナレッジベースにアクセスできますか?","A. GitHub Copilot 個人;B. GitHub Copilot ビジネス;C. GitHub Copilot エンタープライズ;D. GitHub Copilot プロフェッショナル","C","GitHub Copilot Enterprise は、会社のナレッジベースへのアクセスを提供し、ツールが組織の特定のドキュメントとコードに基づいてコンテキストに適した提案を提供できるようにします。"
